,Z,S,K,l,b,Q_t_hat,d_ijk
124,290970101001049,1,0,28947.6,4.0,4.005801964430212e-05,1.9300455525466749
125,290970101001049,1,1,28932.71893,0.0,4.015752590888584e-05,1.9294487265525095
126,290970101001049,1,2,19086.02515,0.0,4.017884264706129e-05,1.511566178795798
127,290970101001049,1,3,5520.982906,0.0,4.00550880978815e-05,0.946301326276985
128,290970101001050,1,0,31762.8,2.0,3.8208745270257404e-05,1.9300455525466749
129,290970101001050,1,1,31746.47172,0.0,4.0137745057466845e-05,1.9294487264667222
130,290970101001050,1,2,20942.17136,0.0,3.804697695373247e-05,1.5115661788319958
131,290970101001050,1,3,6057.907248,0.0,4.023751013627268e-05,0.9463013262835294
132,290970101001063,1,0,2549275.8,2.0,4.0196695856732234e-05,92.10771236922763
133,290970101001063,1,1,2547965.296,0.0,4.02158024922637e-05,92.0792300009328
134,290970101001063,1,2,1680814.369,0.0,4.0251435554121285e-05,72.136589020886
135,290970101001063,1,3,486206.3907,0.0,3.9986331583419094e-05,45.16041098699598
136,290970101001071,1,0,8727.8,4.0,3.946092331059098e-05,2.5733940700622333
137,290970101001071,1,1,8723.313307,0.0,4.014923491370186e-05,2.5725983021218486
138,290970101001071,1,2,5754.501594,0.0,3.869723210624556e-05,2.0154215719833926
139,290970101001071,1,3,1664.595151,0.0,4.0233162409345676e-05,1.2617351016225127
140,290970101001075,1,0,456994.0,1.0,4.0057601948709315e-05,0.9435778256894877
141,290970101001075,1,1,456759.0735,0.0,4.025767602497741e-05,0.9432860441503632
142,290970101001075,1,2,301309.9179,0.0,3.897958020270004e-05,0.7389879097271189
143,290970101001075,1,3,87159.42123,0.0,3.876449072869443e-05,0.4626362039517027
144,290970101001081,1,0,16782.4,6.0,4.016549136500006e-05,1.9300455525466749
145,290970101001081,1,1,16773.77269,0.0,4.0261463528330356e-05,1.929448726911529
146,290970101001081,1,2,11065.14214,0.0,4.016820885655638e-05,1.511566179145956
147,290970101001081,1,3,3200.795352,0.0,4.021704262878477e-05,0.9463013262992492
148,290970101002000,1,0,21977.6,3.0,3.739929403745309e-05,4.141399192859179
149,290970101002000,1,1,21966.30199,0.0,3.963246586382985e-05,4.1399329047170745
150,290970101002000,1,2,14490.49408,0.0,4.024387340881248e-05,3.144572007858496
151,290970101002000,1,3,4191.641238,0.0,3.994617159348733e-05,1.8907725050313953
152,290970101002001,1,0,17822.8,26.0,3.9932446680237445e-05,46.35582962091115
153,290970101002001,1,1,17813.63785,0.0,4.0171219596010354e-05,46.339417059660555
154,290970101002001,1,2,11751.10921,0.0,4.014355575671034e-05,35.19806649850469
155,290970101002001,1,3,3399.223913,0.0,4.000745598360926e-05,21.163940981600167
156,290970101002002,1,0,76496.6,6.0,4.025379545343035e-05,24.848395157155075
157,290970101002002,1,1,76457.27546,0.0,4.026009782540682e-05,24.83959743177864
158,290970101002002,1,2,50436.51397,0.0,4.014517751870663e-05,18.867432047014884
159,290970101002002,1,3,14589.68692,0.0,3.994063291757782e-05,11.344635031236583
160,290970101002003,1,0,16966.0,5.0,4.025228334771037e-05,15.776758829939748
161,290970101002003,1,1,16957.2783,0.0,4.006808472309549e-05,15.77117297045978
162,290970101002003,1,2,11186.19515,0.0,4.017977776344551e-05,11.97932193372505
163,290970101002003,1,3,3235.812157,0.0,4.0219659915991e-05,7.202942876732738
164,290970101002004,1,0,79301.6,5.0,4.009938342898465e-05,8.874426841841098
165,290970101002004,1,1,79260.83349,0.0,4.0121573309820954e-05,8.87128479659263
166,290970101002004,1,2,52285.93501,0.0,4.016410710529598e-05,6.738368588057222
167,290970101002004,1,3,15124.66588,0.0,3.7546403608325204e-05,4.051655368052918
168,290970101002005,1,0,9040.6,8.0,3.983361049268689e-05,7.888379414969845
169,290970101002005,1,1,9035.952506,0.0,3.9728168564952235e-05,7.88558648586097
170,290970101002005,1,2,5960.740061,0.0,4.013419165471348e-05,5.989660966929097
171,290970101002005,1,3,1724.253412,0.0,3.8674585798249694e-05,3.6014714384073323
172,290970101002006,1,0,47195.4,6.0,4.017638819172168e-05,14.909037094293044
173,290970101002006,1,1,47171.1383,0.0,4.00329191491623e-05,14.903758458597556
174,290970101002006,1,2,31117.34968,0.0,4.026808720391403e-05,11.320459228533231
175,290970101002006,1,3,9001.264237,0.0,3.974560794798473e-05,6.806781018203378
176,290970101002007,1,0,18305.6,6.0,4.005960337339229e-05,12.779174652251182
177,290970101002007,1,1,18296.18966,0.0,4.0241342394559675e-05,12.774650109560687
178,290970101002007,1,2,12069.43381,0.0,4.023524059061826e-05,9.703250768714867
179,290970101002007,1,3,3491.30514,0.0,3.664419205082974e-05,5.8343837297849435
180,290970101002008,1,0,76914.8,8.0,4.005664128438676e-05,23.46792875953537
181,290970101002008,1,1,76875.26047,0.0,3.973935278475191e-05,23.459619795357266
182,290970101002008,1,2,50712.24583,0.0,4.007753158671484e-05,17.819241376778244
183,290970101002008,1,3,14669.44742,0.0,4.019732376815793e-05,10.714377529488576
184,290970101002009,1,0,22130.6,4.0,4.01763058922022e-05,8.519449768167455
185,290970101002009,1,1,22119.22334,0.0,3.808543812418574e-05,8.516433404680607
186,290970101002009,1,2,14591.37159,0.0,3.9419087480701336e-05,6.468833844361144
187,290970101002009,1,3,4220.821909,0.0,3.985133347050632e-05,3.889589153262128
188,290970101002010,1,0,17020.4,18.0,4.0167064877893575e-05,35.49770736736439
189,290970101002010,1,1,17011.65034,0.0,3.987761951324856e-05,35.485139191249694
190,290970101002010,1,2,11222.06271,0.0,4.011853641165376e-05,26.953474351470867
191,290970101002010,1,3,3246.187506,0.0,4.014445820659611e-05,16.206621471943542
192,290970101002011,1,0,16027.6,11.0,4.017436427437387e-05,9.466055297963837
193,290970101002011,1,1,16019.3607,0.0,3.9302146632081786e-05,9.46270378119974
194,290970101002011,1,2,10567.47975,0.0,3.7385387979031486e-05,7.187593161520517
195,290970101002011,1,3,3056.837376,0.0,4.015480204826817e-05,4.321765725916055
196,290970101002012,1,0,18149.2,12.0,4.026390412587205e-05,14.790711403068496
197,290970101002012,1,1,18139.87006,0.0,3.903220916918016e-05,14.7854746636307
198,290970101002012,1,2,11966.31457,0.0,4.0158055325211396e-05,11.230614312130061
199,290970101002012,1,3,3461.47601,0.0,4.018443112153152e-05,6.752758946554584
200,290970101002013,1,0,16993.2,4.0,4.019800646206883e-05,3.549770736736439
201,290970101002013,1,1,16984.46432,0.0,3.909998747265834e-05,3.548513918739825
202,290970101002013,1,2,11204.12893,0.0,4.025070234286802e-05,2.6953474351176565
203,290970101002013,1,3,3240.999831,0.0,3.9854986038293484e-05,1.6206621471708569
204,290970101002014,1,0,17333.2,7.0,4.02644516032548e-05,5.916284561227398
205,290970101002014,1,1,17324.28954,0.0,3.933927316707586e-05,5.914189865392382
206,290970101002014,1,2,11428.30118,0.0,4.0265009872497535e-05,4.492245725798146
207,290970101002014,1,3,3305.845766,0.0,4.026356279507708e-05,2.701103578619246
208,290970101002015,1,0,7235.2,11.0,3.949327885120363e-05,7.6066515787209665
209,290970101002015,1,1,7231.480607,0.0,4.0268980968496254e-05,7.603958397419329
210,290970101002015,1,2,4770.385427,0.0,3.992140834929331e-05,5.775744503987648
211,290970101002015,1,3,1379.921497,0.0,4.0227100318507515e-05,3.472847458416906
212,290970101002016,1,0,15041.6,11.0,3.99729805294345e-05,9.663264783338064
213,290970101002016,1,1,15033.86758,0.0,4.024417499640326e-05,9.659843446623523
214,290970101002016,1,2,9917.38023,0.0,4.026245898452202e-05,7.337334684778844
215,290970101002016,1,3,2868.784164,0.0,3.5640629240755825e-05,4.411802511694338
216,290970101002017,1,0,30028.8,5.0,4.012842267587763e-05,6.212098789288769
217,290970101002017,1,1,30013.36312,0.0,4.0218604342173846e-05,6.20989935778101
218,290970101002017,1,2,19798.8929,0.0,3.999984199029032e-05,4.716858011585509
219,290970101002017,1,3,5727.192979,0.0,4.010199498134619e-05,2.836158757587379
220,290970101002018,1,0,14565.6,5.0,3.107852179333891e-05,5.324656105104658
221,290970101002018,1,1,14558.11227,0.0,3.990486914768514e-05,5.322770877030614
222,290970101002018,1,2,9603.539084,0.0,3.8339048165244356e-05,4.043021152971134
223,290970101002018,1,3,2777.999855,0.0,3.9402496459903244e-05,2.430993220726938
224,290970101002019,1,0,12865.6,9.0,4.0246352150840735e-05,13.311640262761646
225,290970101002019,1,1,12858.98619,0.0,4.011145108373074e-05,13.306927193953957
226,290970101002019,1,2,8482.677846,0.0,4.026444333466944e-05,10.107552882156662
227,290970101002019,1,3,2453.77018,0.0,4.0173590958794944e-05,6.077483051790199
228,290970101002020,1,0,19815.2,11.0,3.9814418333401836e-05,9.93935806286203
229,290970101002020,1,1,19805.01362,0.0,4.0191858704806265e-05,9.935838973563719
230,290970101002020,1,2,13064.75859,0.0,3.974734449967049e-05,7.5469728203665
231,290970101002020,1,3,3779.221092,0.0,3.970691667466617e-05,4.537854012233385
232,290970101002021,1,0,38804.2,10.0,4.005482441169208e-05,30.76467971838247
233,290970101002021,1,1,38784.25196,0.0,4.007254009712846e-05,30.753787297047534
234,290970101002021,1,2,25584.77861,0.0,3.898568869007823e-05,23.359677772663115
235,290970101002021,1,3,7400.866562,0.0,4.0175916291878887e-05,14.045738609319802
236,290970101002022,1,0,26129.0,4.0,3.9751956721238656e-05,10.649312210209317
237,290970101002022,1,1,26115.56789,0.0,4.0200441688126166e-05,10.645541757063116
238,290970101002022,1,2,17227.63722,0.0,4.018429496880057e-05,8.086042305267279
239,290970101002022,1,3,4983.410105,0.0,4.017245663882326e-05,4.861986441675482
240,290970101002023,1,0,16248.6,8.0,3.949018009899521e-05,18.932110595927675
241,290970101002023,1,1,16240.2471,0.0,4.0249818957544636e-05,18.925407569907357
242,290970101002023,1,2,10713.19171,0.0,3.892266695701094e-05,14.375186322289718
243,290970101002023,1,3,3098.987234,0.0,4.0273722001005984e-05,8.643531451994901
244,290970101002024,1,0,10315.6,5.0,4.026565373297477e-05,7.395355701534248
245,290970101002024,1,1,10310.29707,0.0,3.987446084132431e-05,7.392737331595185
246,290970101002024,1,2,6801.38599,0.0,4.025827255444212e-05,5.615307156940232
247,290970101002024,1,3,1967.425668,0.0,4.021717203574351e-05,3.376379473386276
248,290970101002025,1,0,37927.0,2.0,3.98756164887233e-05,3.944189707484934
249,290970101002025,1,1,37907.5029,0.0,4.0255056595082e-05,3.9427932431101773
250,290970101002025,1,2,25006.41421,0.0,3.912679466673719e-05,2.9948304835730957
251,290970101002025,1,3,7233.564049,0.0,4.020407465863957e-05,1.8007357191032511
252,290970101002026,1,0,19400.4,13.0,4.015770105551353e-05,3.944189707484934
253,290970101002026,1,1,19390.42685,0.0,3.795387509966719e-05,3.942793242662648
254,290970101002026,1,2,12791.26844,0.0,4.0251066956170044e-05,2.9948304831352996
255,290970101002026,1,3,3700.109051,0.0,3.959136982331464e-05,1.8007357191064364
256,290970101002027,1,0,21637.6,18.0,4.012841998809924e-05,34.31445045511891
257,290970101002027,1,1,21626.47678,0.0,4.0238181224449736e-05,34.30230121753597
258,290970101002027,1,2,14266.32183,0.0,4.018236146190469e-05,26.05502520520195
259,290970101002027,1,3,4126.795303,0.0,4.003829630487818e-05,15.666400755968903
260,290970101002028,1,0,15232.0,2.0,3.9131749660609436e-05,1.1832569122454797
261,290970101002028,1,1,15224.1697,0.0,4.0043398020464965e-05,1.1828379729882141
262,290970101002028,1,2,10042.91669,0.0,3.984412328721446e-05,0.898449145151247
263,290970101002028,1,3,2905.097888,0.0,3.978617013778521e-05,0.540220715735358
264,290970101002029,1,0,19944.4,12.0,4.027380071363501e-05,6.761468069974153
265,290970101002029,1,1,19934.1472,0.0,4.02419586081922e-05,6.759074131142293
266,290970101002029,1,2,13149.94404,0.0,4.025331868211696e-05,5.1339951149183465
267,290970101002029,1,3,3803.862547,0.0,4.0080426167768456e-05,3.0869755184687016
268,290970101002030,1,0,15850.8,5.0,3.841758686275559e-05,5.916284561227398
269,290970101002030,1,1,15842.65159,0.0,4.019505039422827e-05,5.914189863896649
270,290970101002030,1,2,10450.91018,0.0,3.9221869615395464e-05,4.492245725616391
271,290970101002030,1,3,3023.11749,0.0,4.0245590591045664e-05,2.7011035787397164
272,290970101002031,1,0,17992.8,17.0,3.962584441726878e-05,15.382339859191235
273,290970101002031,1,1,17983.55046,0.0,3.98324271421893e-05,15.376893649950887
274,290970101002031,1,2,11863.19534,0.0,4.021745430016793e-05,11.679838886928527
275,290970101002031,1,3,3431.64688,0.0,3.9453911707478884e-05,7.022869304463569
276,290970101002032,1,0,25173.6,9.0,3.9981356535767465e-05,11.832569122454796
277,290970101002032,1,1,25160.65903,0.0,4.026051934354472e-05,11.828379729564167
278,290970101002032,1,2,16597.71321,0.0,4.026723927483178e-05,8.984491452107392
279,290970101002032,1,3,4801.193027,0.0,3.976282202273105e-05,5.402207157247922
280,290970101002033,1,0,26101.8,12.0,3.344301053914058e-05,21.298624420418633
281,290970101002033,1,1,26088.38187,0.0,4.004278621243967e-05,21.291083512621125
282,290970101002033,1,2,17209.70344,0.0,4.023247889545663e-05,16.172084610419237
283,290970101002033,1,3,4978.22243,0.0,4.026785095622421e-05,9.723972883259375
284,290970101002034,1,0,24316.8,19.0,3.196378427291043e-05,41.01957295784327
285,290970101002034,1,1,24304.29948,0.0,3.9811970189132905e-05,41.0050497240336
286,290970101002034,1,2,16032.79914,0.0,4.027691835883416e-05,31.146237026683732
287,290970101002034,1,3,4637.781271,0.0,3.9832373401073964e-05,18.727651478636144
288,290970101002035,1,0,24881.2,18.0,3.811933981166939e-05,31.750727145253723
289,290970101002035,1,1,24868.40934,0.0,4.018652672032072e-05,31.739485604318514
290,290970101002035,1,2,16404.92507,0.0,4.025590638996209e-05,24.108385390106655
291,290970101002035,1,3,4745.425523,0.0,3.9975252402619e-05,14.495922538683649
292,290970101002036,1,0,13110.4,13.0,4.0162595965665455e-05,23.4284868624605
293,290970101002036,1,1,13103.66035,0.0,3.9802689473251396e-05,23.420191866485435
294,290970101002036,1,2,8644.081864,0.0,3.98206346001656e-05,17.789293072329276
295,290970101002036,1,3,2500.459254,0.0,4.002399625558575e-05,10.696370171961787
296,290970101002037,1,0,19992.0,11.0,4.0211252660206164e-05,23.4284868624605
297,290970101002037,1,1,19981.72273,0.0,4.010731567117097e-05,23.420191864157662
298,290970101002037,1,2,13181.32815,0.0,4.014694772069205e-05,17.789293069345685
299,290970101002037,1,3,3812.940978,0.0,4.013634270765635e-05,10.69637017156009
300,290970101002038,1,0,19380.0,11.0,4.015016547579315e-05,23.665138244909592
301,290970101002038,1,1,19370.03734,0.0,3.966682635633681e-05,23.656759458487635
302,290970101002038,1,2,12777.81811,0.0,3.8409833106535525e-05,17.968982902986493
303,290970101002038,1,3,3696.218295,0.0,3.789827991637124e-05,10.804414314707163
304,290970101002039,1,0,24310.0,14.0,4.022721878212719e-05,9.93935806286203
305,290970101002039,1,1,24297.50298,0.0,3.998385096539849e-05,9.93583897281184
306,290970101002039,1,2,16028.3157,0.0,3.6961913611186955e-05,7.546972819431385
307,290970101002039,1,3,4636.484353,0.0,4.0270232833664227e-05,4.537854012291891
308,290970101002041,1,0,18547.0,10.0,4.0251799380616935e-05,9.466055297963837
309,290970101002041,1,1,18537.46556,0.0,4.0147366846477566e-05,9.462703783536906
310,290970101002041,1,2,12228.5961,0.0,3.972226114266537e-05,7.18759315992845
311,290970101002041,1,3,3537.345754,0.0,4.0254550409671905e-05,4.321765725811161
312,290970101003001,1,0,23976.8,7.0,4.0236393457029265e-05,11.431272712269037
313,290970101003001,1,1,23964.47427,0.0,3.8479760608077974e-05,11.427655815068952
314,290970101003001,1,2,15808.62689,0.0,4.0264801052717905e-05,8.90787502978495
315,290970101003001,1,3,4572.935336,0.0,3.996087827460634e-05,5.539223737534973
316,290970101003002,1,0,24255.6,2.0,4.024581185243427e-05,2.5402828249486746
317,290970101003002,1,1,24243.13094,0.0,3.663019124456253e-05,2.539479069528068
318,290970101003002,1,2,15992.44814,0.0,4.012918344905995e-05,1.9795277848897546
319,290970101003002,1,3,4626.109003,0.0,4.005674364740291e-05,1.2309386083590166
320,290970101003004,1,0,56776.6,76.0,4.027779670566475e-05,103.95618945174596
321,290970101003004,1,1,56747.4129,0.0,4.0256425408284786e-05,103.9232973165636
322,290970101003004,1,2,37434.52361,0.0,3.657020424835818e-05,81.00836780285074
323,290970101003004,1,3,10828.62269,0.0,3.959924321776141e-05,50.37379536172459
324,290970101003007,1,0,13375.6,12.0,4.025948993239979e-05,6.532155835582316
325,290970101003007,1,1,13368.72402,0.0,4.013648019723307e-05,6.530089037645214
326,290970101003007,1,2,8818.936217,0.0,3.867907986572997e-05,5.090214303516838
327,290970101003007,1,3,2551.039083,0.0,3.4811705597150263e-05,3.165270707221296
328,290970101003008,1,0,37270.8,8.0,4.0028625206825286e-05,6.223692921124253
329,290970101003008,1,1,37251.64023,0.0,3.974991632130856e-05,6.221723720870252
330,290970101003008,1,2,24573.76177,0.0,4.009192262763084e-05,4.849843072304021
331,290970101003008,1,3,7108.411395,0.0,4.015651253421174e-05,3.0157995904934145
332,290970101003009,1,0,41010.8,10.0,4.026924385219369e-05,9.878877652578208
333,290970101003009,1,1,40989.71761,0.0,3.7303327949312074e-05,9.875751937707518
334,290970101003009,1,2,27039.6565,0.0,4.01705316434023e-05,7.698163608046277
335,290970101003009,1,3,7821.71668,0.0,3.835002395584114e-05,4.786983476969586
